capture_us,arm_x,arm_z,claw
1787986323947075,0,0,128
1787986323966482,0,0,128
1787986323986759,0,0,128
1787986324006561,0,0,128
1787986324027130,0,0,128
1787986324047455,0,0,128
1787986324067537,0,0,128
1787986324087175,0,0,128
1787986324106701,0,0,128
1787986324126474,0,0,128
1787986324146809,0,0,128
1787986324167445,0,0,128
1787986324187110,0,0,128
1787986324207207,0,0,128
1787986324227130,0,0,128
1787986324247213,0,0,128
1787986324266784,0,0,128
1787986324287116,0,0,128
1787986324306623,0,0,128
1787986324327430,0,0,128
1787986324346657,0,0,128
1787986324367150,0,0,128
1787986324386569,0,0,128
1787986324406702,0,0,128
1787986324426715,0,0,128
1787986324447301,0,0,128
1787986324467407,0,0,128
1787986324487374,0,0,128
1787986324507183,0,0,128
1787986324527117,0,0,128
1787986324547089,0,0,128
1787986324566988,0,0,128
1787986324587177,0,0,128
1787986324606619,0,0,128
1787986324626740,0,0,128
1787986324646977,0,0,128
1787986324667164,0,0,128
1787986324687082,0,0,128
1787986324706563,0,0,128
1787986324726418,0,0,128
1787986324746742,0,0,128
1787986324766789,0,0,128
1787986324786955,0,0,128
1787986324807375,0,0,128
1787986324826526,0,0,128
1787986324846600,0,0,128
1787986324866543,0,0,128
1787986324886646,0,0,128
1787986324907042,0,0,128
1787986324927360,0,0,128
1787986324947116,0,0,128
1787986324966475,0,0,128
1787986324986833,0,0,128
1787986325006662,0,0,128
1787986325027483,0,0,128
1787986325047037,0,0,128
1787986325066640,0,0,128
1787986325087010,0,0,128
1787986325106924,0,0,128
1787986325126576,0,0,128
1787986325147152,0,0,128
1787986325166808,0,0,128
1787986325187496,0,0,128
1787986325206625,0,0,128
1787986325227414,0,0,128
1787986325246695,0,0,128
1787986325266693,0,0,128
1787986325287485,0,0,128
1787986325307109,0,0,128
1787986325327197,0,0,128
1787986325346812,0,0,128
1787986325367422,0,0,128
1787986325386926,0,0,128
1787986325406703,0,0,128
1787986325427356,0,0,128
1787986325447030,0,0,128
1787986325466729,0,0,128
1787986325486827,0,0,128
1787986325507205,0,0,128
1787986325526926,0,0,128
1787986325546739,0,0,128
1787986325567342,0,0,128
1787986325587035,0,0,128
1787986325606803,0,0,128
1787986325627219,0,0,128
1787986325646858,0,0,128
1787986325666680,0,0,128
1787986325687218,0,0,128
1787986325706666,0,0,128
1787986325726742,0,0,128
1787986325747438,0,0,128
1787986325767213,0,0,128
1787986325786912,0,0,128
1787986325807487,0,0,128
1787986325827266,0,0,128
1787986325846996,0,0,128
1787986325866831,0,0,128
1787986325886963,0,0,128
1787986325907112,0,0,128
1787986325927320,0,0,128
1787986325946633,0,0,128
1787986325967164,0,0,128
1787986325987097,0,0,128
1787986326006563,0,0,128
1787986326026557,0,0,128
1787986326047369,0,0,128
1787986326067070,0,0,128
1787986326086874,0,0,128
1787986326107012,0,0,128
1787986326126723,0,0,128
1787986326147442,0,0,128
1787986326167305,0,0,128
1787986326187488,0,0,128
1787986326207239,0,0,128
1787986326226517,0,0,128
1787986326247059,0,0,128
1787986326266784,0,0,128
1787986326286816,0,0,128
1787986326307099,0,0,128
1787986326326777,0,0,128
1787986326346993,0,0,128
1787986326366535,0,0,128
1787986326387389,0,0,128
1787986326407123,0,0,128
1787986326426568,0,0,128
1787986326446819,0,0,128
1787986326467283,0,0,128
1787986326486474,0,0,128
1787986326506478,0,0,128
1787986326527141,0,0,128
1787986326546819,0,0,128
1787986326566926,0,0,128
1787986326587371,0,0,128
1787986326607266,0,0,128
1787986326627051,0,0,128
1787986326646742,0,0,128
1787986326667210,0,0,128
1787986326687278,0,0,128
1787986326707336,0,0,128
1787986326727112,0,0,128
1787986326746466,0,0,128
1787986326766658,0,0,128
1787986326787357,0,0,128
1787986326807400,0,0,128
1787986326827546,0,0,128
1787986326847166,0,0,128
1787986326866631,0,0,128
1787986326886695,0,0,128
1787986326906887,0,0,128
1787986326927420,0,0,128
1787986326947357,0,0,128
1787986326966695,0,0,128
1787986326987280,0,0,128
1787986327006658,0,0,128
1787986327026771,0,0,128
1787986327046932,0,0,128
1787986327066748,0,0,128
1787986327087484,0,0,128
1787986327106572,0,0,128
1787986327127322,0,0,128
1787986327146972,0,0,128
1787986327166545,0,0,128
1787986327187408,0,0,128
1787986327207426,0,0,128
1787986327227538,0,0,128
1787986327246477,0,0,128
1787986327267578,0,0,128
1787986327287292,0,0,128
1787986327307357,0,0,128
1787986327326483,0,0,128
1787986327347606,0,0,128
1787986327367128,0,0,128
1787986327387285,0,0,128
1787986327407364,0,0,128
1787986327426616,0,0,128
1787986327447488,0,0,128
1787986327467246,0,0,128
1787986327486792,0,0,128
1787986327507038,0,0,128
1787986327526883,0,0,128
1787986327547185,0,0,128
1787986327567374,0,0,128
1787986327587293,0,0,128
1787986327607259,0,0,128
1787986327626814,0,0,128
1787986327647060,0,0,128
1787986327667043,0,0,128
1787986327686845,0,0,128
1787986327707006,0,0,128
1787986327726730,0,0,128
1787986327746654,0,0,128
1787986327766706,0,0,128
1787986327787377,0,0,128
1787986327807506,0,0,128
1787986327826645,0,0,128
1787986327846982,0,0,128
1787986327866650,0,0,128
1787986327886862,0,0,128
1787986327907367,0,0,128
1787986327926759,0,0,128
1787986327946597,0,0,128
1787986327966603,0,0,128
1787986327987076,0,0,128
1787986328006800,0,0,128
1787986328027137,0,0,128
1787986328047498,0,0,128
1787986328066585,0,0,128
1787986328086979,0,0,128
1787986328106657,0,0,128
1787986328127404,0,0,128
1787986328146555,0,0,128
1787986328166911,0,0,128
1787986328186564,0,0,128
1787986328207128,0,0,128
1787986328227492,0,0,128
1787986328246666,0,0,128
1787986328266495,0,0,128
1787986328287372,0,0,128
1787986328306558,0,0,128
1787986328326824,0,0,128
1787986328346510,0,0,128
1787986328366553,0,0,128
1787986328386828,0,0,128
1787986328407352,0,0,128
1787986328427277,0,0,128
1787986328446626,0,0,128
1787986328467071,0,0,128
1787986328486412,0,0,128
1787986328506962,0,0,128
1787986328527433,0,0,128
1787986328546674,0,0,128
1787986328566858,0,0,128
1787986328586883,0,0,128
1787986328607132,0,0,128
1787986328626603,0,0,128
1787986328646669,0,0,128
1787986328666799,0,0,128
1787986328687309,0,0,128
1787986328707152,0,0,128
1787986328726611,0,0,128
1787986328746762,0,0,128
1787986328766514,0,0,128
1787986328787386,0,0,128
