capture_us,seq,tick_id,region_id,battery,roll,pitch,yaw,motors
1787986323952222,103505,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986323972563,103514,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986323991507,103523,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324010909,103532,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324032916,103541,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324051416,103550,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324071253,103559,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324090770,103568,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324111782,103577,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324132924,103586,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324152210,103595,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324171929,103604,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324191273,103613,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324212427,103622,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324232983,103631,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324273341,103640,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324283778,103649,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324292096,103658,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324311822,103667,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324334496,103676,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324353807,103685,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324375323,103694,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324393305,103703,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324413733,103712,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324432883,103721,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324455188,103730,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324472441,103739,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324492114,103748,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324511517,103757,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324532476,103766,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324553455,103775,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324571053,103784,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324591129,103793,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324613291,103809,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324631569,103811,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324650752,103820,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324671368,103829,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324692859,103838,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324711503,103847,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324730495,103856,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324751417,103865,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324770501,103874,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324790782,103883,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324811480,103893,0,255,94,-0.32,0.02,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;46.08;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324830972,103902,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324850876,103911,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324870417,103920,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324891665,103929,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324911739,103938,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324931380,103947,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324950995,103956,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324971212,103965,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986324991235,103974,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325012054,103983,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325031223,103992,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325050841,104001,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325071049,104010,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325090581,104019,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325110755,104028,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325131592,104037,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325150094,104046,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325201888,104055,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325202534,104057,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325209996,104073,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325230371,104082,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325250541,104091,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325270801,104100,0,255,94,-0.29,0,5.37,4.82;39.18;0.35;4.35;39.8;0.12;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
