capture_us,input
1787986326575688,"Move { vx: -15.0, vy: 0.0 }"
1787986327075649,"Move { vx: -15.0, vy: 0.0 }"
1787986327107061,"Move { vx: -15.0, vy: 0.0 }"
1787986327137461,"Move { vx: -15.0, vy: 0.0 }"
1787986329372524,"Move { vx: 15.0, vy: 0.0 }"
1787986330758576,"Move { vx: 15.0, vy: 0.0 }"
1787986331259613,"Move { vx: 15.0, vy: 0.0 }"
1787986331289926,"Move { vx: 15.0, vy: 0.0 }"
1787986331320265,"Move { vx: 15.0, vy: 0.0 }"
1787986331349907,"Move { vx: 15.0, vy: 0.0 }"
1787986331380099,"Move { vx: 15.0, vy: 0.0 }"
1787986331410763,"Move { vx: 15.0, vy: 0.0 }"
1787986331440514,"Move { vx: 15.0, vy: 0.0 }"
1787986331470754,"Move { vx: 15.0, vy: 0.0 }"
1787986331502964,"Move { vx: 15.0, vy: 0.0 }"
1787986331531712,"Move { vx: 15.0, vy: 0.0 }"
1787986331560899,"Move { vx: 15.0, vy: 0.0 }"
1787986331592827,"Move { vx: 15.0, vy: 0.0 }"
1787986331620737,"Move { vx: 15.0, vy: 0.0 }"
1787986331651211,"Move { vx: 15.0, vy: 0.0 }"
1787986331681242,"Move { vx: 15.0, vy: 0.0 }"
1787986331710713,"Move { vx: 15.0, vy: 0.0 }"
1787986331742058,"Move { vx: 15.0, vy: 0.0 }"
1787986331773070,"Move { vx: 15.0, vy: 0.0 }"
1787986331803533,"Move { vx: 15.0, vy: 0.0 }"
1787986331832679,"Move { vx: 15.0, vy: 0.0 }"
1787986331862682,"Move { vx: 15.0, vy: 0.0 }"
1787986331892924,"Move { vx: 15.0, vy: 0.0 }"
1787986331923899,"Move { vx: 15.0, vy: 0.0 }"
1787986331954834,"Move { vx: 15.0, vy: 0.0 }"
1787986331985894,"Move { vx: 15.0, vy: 0.0 }"
1787986332016380,"Move { vx: 15.0, vy: 0.0 }"
1787986332047151,"Move { vx: 15.0, vy: 0.0 }"
1787986332077224,"Move { vx: 15.0, vy: 0.0 }"
1787986332108301,"Move { vx: 15.0, vy: 0.0 }"
1787986332138162,"Move { vx: 15.0, vy: 0.0 }"
1787986332168071,"Move { vx: 15.0, vy: 0.0 }"
1787986332198334,"Move { vx: 15.0, vy: 0.0 }"
1787986332228520,"Move { vx: 15.0, vy: 0.0 }"
1787986332258423,"Move { vx: 15.0, vy: 0.0 }"
1787986332289171,"Move { vx: 15.0, vy: 0.0 }"
1787986332320024,"Move { vx: 15.0, vy: 0.0 }"
1787986332350389,"Move { vx: 15.0, vy: 0.0 }"
1787986332381465,"Move { vx: 15.0, vy: 0.0 }"
1787986332412239,"Move { vx: 15.0, vy: 0.0 }"
1787986332442724,"Move { vx: 15.0, vy: 0.0 }"
1787986332473566,"Move { vx: 15.0, vy: 0.0 }"
1787986332503156,"Move { vx: 15.0, vy: 0.0 }"
1787986332533239,"Move { vx: 15.0, vy: 0.0 }"
1787986332563491,"Move { vx: 15.0, vy: 0.0 }"
1787986332593221,"Move { vx: 15.0, vy: 0.0 }"
1787986332623316,"Move { vx: 15.0, vy: 0.0 }"
1787986332653849,"Move { vx: 15.0, vy: 0.0 }"
1787986332684340,"Move { vx: 15.0, vy: 0.0 }"
1787986332714495,"Move { vx: 15.0, vy: 0.0 }"
1787986333994690,"Move { vx: 15.0, vy: 0.0 }"
1787986335328619,Turn { turn: 60.0 }
1787986336091321,Turn { turn: 60.0 }
1787986336591263,Turn { turn: 60.0 }
1787986336621882,Turn { turn: 60.0 }
1787986336652450,Turn { turn: 60.0 }
1787986336681839,Turn { turn: 60.0 }
1787986336711931,Turn { turn: 60.0 }
1787986336742532,Turn { turn: 60.0 }
1787986336773858,Turn { turn: 60.0 }
1787986336803681,Turn { turn: 60.0 }
1787986336833108,Turn { turn: 60.0 }
1787986336864097,Turn { turn: 60.0 }
1787986336894527,Turn { turn: 60.0 }
1787986336924678,Turn { turn: 60.0 }
1787986336954673,Turn { turn: 60.0 }
1787986336984259,Turn { turn: 60.0 }
1787986338143277,"Move { vx: 15.0, vy: 0.0 }"
1787986339767588,"AttitudeNudge { axis: 'p', delta: -2.0 }"
1787986340058372,"AttitudeNudge { axis: 'p', delta: -2.0 }"
1787986340759922,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986340981722,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986341204370,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986341526912,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986341777237,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986342272975,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986347892686,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986348658005,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986352715718,"ArmNudge { dx: 0, dz: -10 }"
1787986354441909,"ArmNudge { dx: 10, dz: 0 }"
